Year,Order,Player,Club,Nationality,Points
1956,1,Stanley Matthews,Blackpool,England,47.0
1956,2,Alfredo Di Stéfano,Real Madrid,Spain,44.0
1956,3,Raymond Kopa,Reims /  Real Madrid,France,33.0
1956,4,Ferenc Puskás,Budapest Honvéd,Hungary,32.0
1956,5,Lev Yashin,Dynamo Moscow,Soviet Union,19.0
1956,6,József Bozsik,Budapest Honvéd,Hungary,15.0
1956,7,Ernst Ocwirk,Austria Wien / Sampdoria,Austria,9.0
1956,8,Sándor Kocsis,Budapest Honvéd,Hungary,6.0
1956,9,Thadée Cisowski,RC Paris,France,4.0
1956,9,Ivan Kolev,CDNA Sofia,Bulgaria,4.0
1956,9,Billy Wright,Wolverhampton Wanderers,England,4.0
1956,12,Júlio Botelho,Fiorentina,Italy,3.0
1956,13,Stefan Bozhkov,CDNA Sofia,Bulgaria,2.0
1956,13,Duncan Edwards,Manchester United,England,2.0
1956,13,Gerhard Hanappi,Rapid Wien,Austria,2.0
1956,13,Robert Jonquet,Reims,France,2.0
1956,13,Miguel Montuori,Fiorentina,Italy,2.0
1956,13,Pepillo,Sevilla,Spain,2.0
1956,13,Juan Alberto Schiaffino,Milan,Italy,2.0
1956,13,Eduard Streltsov,Torpedo Moscow,Soviet Union,2.0
1956,21,Marcelino Campanal,Sevilla,Spain,1.0
1956,21,Břetislav Dolejší,Dukla Prague,Czechoslovakia,1.0
1956,21,Roger Piantoni,FC Nancy,France,1.0
1956,21,Kees Rijvers,Saint-Étienne,Netherlands,1.0
1957,1,Alfredo Di Stéfano,Real Madrid,Spain,72.0
1957,2,Billy Wright,Wolverhampton Wanderers,England,19.0
1957,3,Duncan Edwards,Manchester United,England,16.0
1957,3,Raymond Kopa,Real Madrid,France,16.0
1957,5,László Kubala,Barcelona,Hungary,15.0
1957,6,John Charles,Leeds United / Juventus,Wales,14.0
1957,7,Eduard Streltsov,Torpedo Moscow,Soviet Union,12.0
1957,8,Tommy Taylor,Manchester United,England,10.0
1957,9,József Bozsik,Budapest Honvéd,Hungary,9.0
1957,9,Igor Netto,Spartak Moscow,Soviet Union,9.0
1957,11,Lev Yashin,Dynamo Moscow,Soviet Union,8.0
1957,12,Francisco Gento,Real Madrid,Spain,7.0
1957,12,Gyula Grosics,Budapest Honvéd / Tatabánya,Hungary,7.0
1957,14,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4.0
1957,14,Miloš Milutinović,Partizan,Yugoslavia,4.0
1957,14,Juan Alberto Schiaffino,Milan,Italy,4.0
1957,17,Gerhard Hanappi,Rapid Wien,Austria,3.0
1957,17,Johnny Haynes,Fulham,England,3.0
1957,17,Stanley Matthews,Blackpool,England,3.0
1957,20,Sándor Kocsis,Young Fellows Zürich,Hungary,2.0
1957,20,Horst Szymaniak,Wuppertaler SV,West Germany,2.0
1957,22,Kurt Hamrin,Padova,Sweden,1.0
1957,22,Ladislav Novák,Dukla Prague,Czechoslovakia,1.0
1958,1,Raymond Kopa,Real Madrid,France,71.0
1958,2,Helmut Rahn,Rot-Weiss Essen,West Germany,40.0
1958,3,Just Fontaine,Reims,France,23.0
1958,4,John Charles,Juventus,Wales,15.0
1958,4,Kurt Hamrin,Padova / Fiorentina,Sweden,15.0
1958,6,Billy Wright,Wolverhampton Wanderers,England,9.0
1958,7,Johnny Haynes,Fulham,England,7.0
1958,8,Harry Gregg,Manchester United,Northern Ireland,6.0
1958,8,Nils Liedholm,Milan,Sweden,6.0
1958,8,Horst Szymaniak,Wuppertaler SV,West Germany,6.0
1958,11,Colin McDonald,Burnley,England,5.0
1958,12,Francisco Gento,Real Madrid,Spain,4.0
1958,12,Gunnar Gren,Örgryte IS,Sweden,4.0
1958,14,Vujadin Boškov,Vojvodina,Yugoslavia,3.0
1958,14,Bengt Gustavsson,Atalanta,Sweden,3.0
1958,14,Valentin Ivanov,Torpedo Moskva,Soviet Union,3.0
1958,14,Luis Suárez,Barcelona,Spain,3.0
1958,14,Lev Yashin,Dynamo Moscow,Soviet Union,3.0
1958,19,Orvar Bergmark,Örebro SK,Sweden,2.0
1958,19,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,2.0
1958,19,Ivan Kolev,CDNA Sofia,Bulgaria,2.0
1958,19,Bruno Nicolè,Juventus,Italy,2.0
1958,19,Ladislav Novák,Dukla Prague,Czechoslovakia,2.0
1958,19,Lennart Skoglund,Internazionale,Sweden,2.0
1958,25,Giampiero Boniperti,Juventus,Italy,1.0
1958,25,Gerhard Hanappi,Rapid Wien,Austria,1.0
1959,1,Alfredo Di Stéfano,Real Madrid,Spain,80.0
1959,2,Raymond Kopa,Real Madrid / Reims,France,42.0
1959,3,John Charles,Juventus,Wales,24.0
1959,4,Luis Suárez,Barcelona,Spain,22.0
1959,5,Agne Simonsson,Örgryte IS,Sweden,20.0
1959,6,Lajos Tichy,Budapest Honvéd,Hungary,18.0
1959,7,Ferenc Puskás,Real Madrid,Hungary,16.0
1959,8,Francisco Gento,Real Madrid,Spain,12.0
1959,9,Helmut Rahn,Rot-Weiss Essen /  1. FC Köln,West Germany,11.0
1959,10,Horst Szymaniak,Wuppertaler SV / Karlsruher SC,West Germany,8.0
1959,11,Lev Yashin,Dynamo Moscow,Soviet Union,7.0
1959,12,Yuriy Voynov,Dynamo Kyiv,Soviet Union,5.0
1959,13,Dezső Bundzsák,Vasas,Hungary,4.0
1959,13,Gyula Grosics,Tatabánya,Hungary,4.0
1959,13,Ivan Kolev,CDNA Sofia,Bulgaria,4.0
1959,13,Nils Liedholm,Milan,Sweden,4.0
1959,17,Titus Buberník,ČH Bratislava,Czechoslovakia,3.0
1959,17,Just Fontaine,Reims,France,3.0
1959,17,Georgi Naydenov,CDNA Sofia,Bulgaria,3.0
1959,20,Flórián Albert,Ferencváros,Hungary,2.0
1959,20,Uwe Seeler,Hamburger SV,West Germany,2.0
1959,20,Joan Segarra,Barcelona,Spain,2.0
1959,23,János Göröcs,Újpest,Hungary,1.0
1959,23,Ken Jones,Scunthorpe United,Wales,1.0
1959,23,Roger Marche,RC Paris,France,1.0
1959,23,Antoni Ramallets,Barcelona,Spain,1.0
1960,1,Luis Suárez,FC Barcelona,Spain,54.0
1960,2,Ferenc Puskás,Real Madrid,Hungary,37.0
1960,3,Uwe Seeler,Hamburger SV,West Germany,33.0
1960,4,Alfredo Di Stéfano,Real Madrid,Spain,32.0
1960,5,Lev Yashin,Dynamo Moscow,Soviet Union,28.0
1960,6,Raymond Kopa,Reims,France,14.0
1960,7,John Charles,Juventus,Wales,11.0
1960,7,Bobby Charlton,Manchester United,England,11.0
1960,9,Omar Sívori,Juventus,Italy,9.0
1960,9,Horst Szymaniak,Karlsruher SC,West Germany,9.0
1960,11,Francisco Gento,Real Madrid,Spain,8.0
1960,12,Borivoje Kostić,Red Star Belgrade,Yugoslavia,7.0
1960,13,Joseph Ujlaki,RC Paris,France,5.0
1960,14,Kurt Hamrin,Fiorentina,Sweden,4.0
1960,14,Bobby Smith,Tottenham Hotspur,England,4.0
1960,16,Luis del Sol,Real Betis /  Real Madrid,Spain,3.0
1960,16,Jimmy Greaves,Chelsea,England,3.0
1960,16,Ivan Kolev,CDNA Sofia,Bulgaria,3.0
1960,19,János Göröcs,Újpest,Hungary,2.0
1960,19,Károly Sándor,MTK Budapest,Hungary,2.0
1960,19,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,2.0
1960,19,Agne Simonsson,Örgryte IS /  Real Madrid,Sweden,2.0
1960,23,Antonio Angelillo,Internazionale,Italy,1.0
1960,23,Gerhard Hanappi,Rapid Wien,Austria,1.0
1960,23,Erich Hof,Wiener SC,Austria,1.0
1960,23,Blagoje Vidinić,Radnički Belgrade,Yugoslavia,1.0
1961,1,Omar Sívori,Juventus,Italy,46.0
1961,2,Luis Suárez,Barcelona / Internazionale,Spain,40.0
1961,3,Johnny Haynes,Fulham,England,22.0
1961,4,Lev Yashin,Dynamo Moscow,Soviet Union,21.0
1961,5,Ferenc Puskás,Real Madrid,Hungary,16.0
1961,6,Alfredo Di Stéfano,Real Madrid,Spain,13.0
1961,6,Uwe Seeler,Hamburger SV,West Germany,13.0
1961,8,John Charles,Juventus,Wales,10.0
1961,9,Francisco Gento,Real Madrid,Spain,8.0
1961,10,José Águas,Benfica,Portugal,5.0
1961,10,Bobby Charlton,Manchester United,England,5.0
1961,10,Gyula Grosics,Tatabánya,Hungary,5.0
1961,10,Gerhard Hanappi,Rapid Wien,Austria,5.0
1961,10,Josef Masopust,Dukla Prague,Czechoslovakia,5.0
1961,10,José Santamaría,Real Madrid,Spain,5.0
1961,10,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,5.0
1961,17,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4.0
1961,17,Germano,Benfica,Portugal,4.0
1961,17,Kurt Hamrin,Fiorentina,Sweden,4.0
1961,17,Mikheil Meskhi,Dinamo Tbilisi,Soviet Union,4.0
1961,17,Viktor Ponedelnik,SKA Rostov-on-Don,Soviet Union,4.0
1961,17,Horst Szymaniak,Karlsruher SC / Catania,West Germany,4.0
1961,23,José Augusto,Benfica,Portugal,3.0
1961,23,Denis Law,Manchester City,Scotland,3.0
1961,23,Denis Law,Torino,Scotland,3.0
1961,23,Slava Metreveli,Torpedo Moscow,Soviet Union,3.0
1961,23,Max Morlock,1. FC Nürnberg,West Germany,3.0
1961,23,Horst Nemec,Austria Wien,Austria,3.0
1961,29,Pierre Bernard,Sedan / Nîmes,France,2.0
1961,29,Gert Dörfel,Hamburger SV,West Germany,2.0
1961,29,Norbert Eschmann,Stade Français,Switzerland,2.0
1961,29,Jimmy Greaves,Chelsea / Milan /  Tottenham Hotspur,England,2.0
1961,29,Lucien Muller,Reims,France,2.0
1961,29,Costa Pereira,Benfica,Portugal,2.0
1961,29,Lajos Tichy,Budapest Honvéd,Hungary,2.0
1961,36,Charles Antenen,La Chaux-de-Fonds,Switzerland,1.0
1961,36,Mário Coluna,Benfica,Portugal,1.0
1961,36,Eusébio,Benfica,Portugal,1.0
1961,36,Gernot Fraydl,Austria Wien,Austria,1.0
1961,36,Karl Koller,First Vienna,Austria,1.0
1961,36,Rudolf Kučera,Dukla Prague,Czechoslovakia,1.0
1961,36,Dumitru Macri,Rapid București,Romania,1.0
1961,36,Jimmy McIlroy,Burnley,Northern Ireland,1.0
1961,36,Karl Stotz,Austria Wien,Austria,1.0
1962,1,Josef Masopust,Dukla Prague,Czechoslovakia,65.0
1962,2,Eusébio,Benfica,Portugal,53.0
1962,3,Karl-Heinz Schnellinger,1. FC Köln,West Germany,33.0
1962,4,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,26.0
1962,5,Jef Jurion,Anderlecht,Belgium,15.0
1962,6,Gianni Rivera,Milan,Italy,14.0
1962,7,Jimmy Greaves,Tottenham Hotspur,England,11.0
1962,8,John Charles,Juventus /  Leeds United / Roma,Wales,10.0
1962,8,Milan Galić,Partizan,Yugoslavia,10.0
1962,10,János Göröcs,Újpest,Hungary,6.0
1962,11,José Águas,Benfica,Portugal,4.0
1962,11,Raymond Kopa,Reims,France,4.0
1962,11,Denis Law,Torino /  Manchester United,Scotland,4.0
1962,11,Omar Sívori,Juventus,Argentina,4.0
1962,15,Luis Del Sol,Real Madrid / Juventus,Spain,3.0
1962,15,Andrej Kvašňák,Sparta Prague,Czechoslovakia,3.0
1962,15,André Lerond,Stade Français,France,3.0
1962,15,Luis Suárez,Internazionale,Spain,3.0
1962,19,Flórián Albert,Ferencváros,Hungary,2.0
1962,19,Kurt Hamrin,Fiorentina,Sweden,2.0
